Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,emotion
1,"thank u, next",Ariana Grande,3978028,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0,1,0.102,-5.642,1,0.0658,106.96,4,0.435,excited
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3883836,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913,peacefull
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3351784,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33E-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591,happy
4,Wow.,Post Malone,3195966,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,149520,0.539,2.10E-06,11,0.101,-7.399,0,0.178,99.947,4,0.385,excited
5,MIA (feat. Drake),Bad Bunny,2777884,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158,excited
6,SICKO MODE,Travis Scott,2624453,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-01,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0,8,0.124,-3.714,1,0.222,155.008,4,0.446,excited
7,Without Me,Halsey,2618489,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11E-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533,peacefull
8,Sweet but Psycho,Ava Max,2432084,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,happy
9,Calma - Remix,Pedro Capó,2385494,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0,11,0.143,-4.218,0,0.0524,126.899,4,0.761,happy
10,Happier,Marshmello,2385450,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,100.015,4,0.671,happy
11,Adan y Eva,Paulo Londra,2191752,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,6FyRXC8tJUh863JCkyWqtk,0.323,0.767,258639,0.709,0,1,0.0676,-4.47,1,0.336,171.993,4,0.72,happy
12,ZEZE,Kodak Black,2160788,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-01,0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,228760,0.603,0,8,0.0924,-5.788,0,0.176,98.043,4,0.504,happy
13,Going Bad (feat. Drake),Meek Mill,2020725,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-01,2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,180522,0.496,0,4,0.252,-6.365,0,0.0905,86.003,4,0.544,peacefull
14,Mo Bamba,Sheck Wes,1904157,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-01,1xzBco0xcoJEDXktl7Jxrr,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261,excited
15,High Hopes,Panic! At The Disco,1818904,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-01,1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,190947,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681,happy
16,Eastside (with Halsey & Khalid),benny blanco,1766878,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-01,7FGq80cy8juXBCD2nrqdWU,0.549,0.632,170770,0.686,0,6,0.2,-7.665,0,0.243,89.949,4,0.329,excited
